WARNING 2024-02-19 22:39:04,959 log 16072 24868 Not Found: /recipes/index/images/image_3.jpg
WARNING 2024-02-19 22:39:04,960 log 16072 9528 Not Found: /recipes/index/images/image_4.jpg
WARNING 2024-02-19 22:39:04,960 basehttp 16072 24868 "GET /recipes/index/images/image_3.jpg HTTP/1.1" 404 2357
WARNING 2024-02-19 22:39:04,961 basehttp 16072 9528 "GET /recipes/index/images/image_4.jpg HTTP/1.1" 404 2357
WARNING 2024-02-19 22:39:04,962 log 16072 6208 Not Found: /recipes/index/images/image_5.jpg
WARNING 2024-02-19 22:39:04,966 basehttp 16072 6208 "GET /recipes/index/images/image_5.jpg HTTP/1.1" 404 2357
WARNING 2024-02-19 22:39:04,974 log 16072 24868 Not Found: /recipes/index/images/category-1.jpg
WARNING 2024-02-19 22:39:04,975 log 16072 9528 Not Found: /recipes/index/images/bg_3.jpg
WARNING 2024-02-19 22:39:04,976 basehttp 16072 24868 "GET /recipes/index/images/category-1.jpg HTTP/1.1" 404 2366
WARNING 2024-02-19 22:39:04,976 basehttp 16072 9528 "GET /recipes/index/images/bg_3.jpg HTTP/1.1" 404 2348
WARNING 2024-02-19 22:39:04,980 log 16072 6208 Not Found: /recipes/index/images/category-2.jpg
WARNING 2024-02-19 22:39:04,981 basehttp 16072 6208 "GET /recipes/index/images/category-2.jpg HTTP/1.1" 404 2366
WARNING 2024-02-19 22:39:04,987 log 16072 9528 Not Found: /recipes/index/images/about.jpg
WARNING 2024-02-19 22:39:04,987 basehttp 16072 9528 "GET /recipes/index/images/about.jpg HTTP/1.1" 404 2351
INFO 2024-02-19 22:39:10,819 basehttp 16072 9528 "GET /recipes/index/ HTTP/1.1" 200 22797
WARNING 2024-02-19 22:39:10,981 log 16072 6208 Not Found: /recipes/index/images/blog-1.jpg
WARNING 2024-02-19 22:39:10,982 log 16072 24868 Not Found: /recipes/index/images/blog-2.jpg
WARNING 2024-02-19 22:39:10,983 log 16072 9528 Not Found: /recipes/index/static '/recipes/css/styles.css'
WARNING 2024-02-19 22:39:10,984 basehttp 16072 6208 "GET /recipes/index/images/blog-1.jpg HTTP/1.1" 404 2354
WARNING 2024-02-19 22:39:10,984 basehttp 16072 24868 "GET /recipes/index/images/blog-2.jpg HTTP/1.1" 404 2354
WARNING 2024-02-19 22:39:10,984 basehttp 16072 9528 "GET /recipes/index/static%20'/recipes/css/styles.css' HTTP/1.1" 404 2431
WARNING 2024-02-19 22:39:10,999 log 16072 24868 Not Found: /recipes/index/images/author.jpg
WARNING 2024-02-19 22:39:11,000 log 16072 9528 Not Found: /recipes/index/images/blog-3.jpg
WARNING 2024-02-19 22:39:11,001 log 16072 6208 Not Found: /recipes/index/js/jquery.min.js
WARNING 2024-02-19 22:39:11,001 basehttp 16072 24868 "GET /recipes/index/images/author.jpg HTTP/1.1" 404 2354
WARNING 2024-02-19 22:39:11,002 basehttp 16072 9528 "GET /recipes/index/images/blog-3.jpg HTTP/1.1" 404 2354
WARNING 2024-02-19 22:39:11,002 basehttp 16072 6208 "GET /recipes/index/js/jquery.min.js HTTP/1.1" 404 2351
WARNING 2024-02-19 22:39:11,017 log 16072 24868 Not Found: /recipes/index/js/bootstrap.min.js
WARNING 2024-02-19 22:39:11,018 basehttp 16072 24868 "GET /recipes/index/js/bootstrap.min.js HTTP/1.1" 404 2360
WARNING 2024-02-19 22:39:11,019 log 16072 6208 Not Found: /recipes/index/js/popper.min.js
WARNING 2024-02-19 22:39:11,020 log 16072 9528 Not Found: /recipes/index/js/jquery-migrate-3.0.1.min.js
WARNING 2024-02-19 22:39:11,022 basehttp 16072 6208 "GET /recipes/index/js/popper.min.js HTTP/1.1" 404 2351
WARNING 2024-02-19 22:39:11,024 basehttp 16072 9528 "GET /recipes/index/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 404 2393
WARNING 2024-02-19 22:39:11,034 log 16072 24868 Not Found: /recipes/index/js/jquery.easing.1.3.js
WARNING 2024-02-19 22:39:11,034 log 16072 6208 Not Found: /recipes/index/js/jquery.waypoints.min.js
WARNING 2024-02-19 22:39:11,035 log 16072 9528 Not Found: /recipes/index/js/jquery.stellar.min.js
WARNING 2024-02-19 22:39:11,036 basehttp 16072 24868 "GET /recipes/index/js/jquery.easing.1.3.js HTTP/1.1" 404 2372
WARNING 2024-02-19 22:39:11,036 basehttp 16072 6208 "GET /recipes/index/js/jquery.waypoints.min.js HTTP/1.1" 404 2381
WARNING 2024-02-19 22:39:11,036 basehttp 16072 9528 "GET /recipes/index/js/jquery.stellar.min.js HTTP/1.1" 404 2375
WARNING 2024-02-19 22:39:11,049 log 16072 6208 Not Found: /recipes/index/js/jquery.magnific-popup.min.js
WARNING 2024-02-19 22:39:11,050 log 16072 24868 Not Found: /recipes/index/js/aos.js
WARNING 2024-02-19 22:39:11,051 log 16072 9528 Not Found: /recipes/index/js/owl.carousel.min.js
WARNING 2024-02-19 22:39:11,052 basehttp 16072 6208 "GET /recipes/index/js/jquery.magnific-popup.min.js HTTP/1.1" 404 2396
WARNING 2024-02-19 22:39:11,052 basehttp 16072 9528 "GET /recipes/index/js/owl.carousel.min.js HTTP/1.1" 404 2369
WARNING 2024-02-19 22:39:11,052 basehttp 16072 24868 "GET /recipes/index/js/aos.js HTTP/1.1" 404 2330
WARNING 2024-02-19 22:39:11,063 log 16072 24868 Not Found: /recipes/index/js/jquery.animateNumber.min.js
WARNING 2024-02-19 22:39:11,064 log 16072 9528 Not Found: /recipes/index/js/scrollax.min.js
WARNING 2024-02-19 22:39:11,065 basehttp 16072 24868 "GET /recipes/index/js/jquery.animateNumber.min.js HTTP/1.1" 404 2393
WARNING 2024-02-19 22:39:11,065 basehttp 16072 9528 "GET /recipes/index/js/scrollax.min.js HTTP/1.1" 404 2357
WARNING 2024-02-19 22:39:11,075 log 16072 9528 Not Found: /recipes/index/js/google-map.js
WARNING 2024-02-19 22:39:11,076 log 16072 24868 Not Found: /recipes/index/js/main.js
WARNING 2024-02-19 22:39:11,077 basehttp 16072 24868 "GET /recipes/index/js/main.js HTTP/1.1" 404 2333
WARNING 2024-02-19 22:39:11,077 basehttp 16072 9528 "GET /recipes/index/js/google-map.js HTTP/1.1" 404 2351
WARNING 2024-02-19 22:39:11,096 log 16072 9528 Not Found: /recipes/index/images/bg_2.jpg
WARNING 2024-02-19 22:39:11,097 basehttp 16072 9528 "GET /recipes/index/images/bg_2.jpg HTTP/1.1" 404 2348
WARNING 2024-02-19 22:39:11,098 log 16072 24868 Not Found: /recipes/index/images/bg_1.jpg
WARNING 2024-02-19 22:39:11,099 log 16072 6208 Not Found: /recipes/index/images/image_2.jpg
WARNING 2024-02-19 22:39:11,100 basehttp 16072 24868 "GET /recipes/index/images/bg_1.jpg HTTP/1.1" 404 2348
WARNING 2024-02-19 22:39:11,100 basehttp 16072 6208 "GET /recipes/index/images/image_2.jpg HTTP/1.1" 404 2357
WARNING 2024-02-19 22:39:11,136 log 16072 6208 Not Found: /recipes/index/images/image_1.jpg
WARNING 2024-02-19 22:39:11,136 basehttp 16072 6208 "GET /recipes/index/images/image_1.jpg HTTP/1.1" 404 2357
WARNING 2024-02-19 22:39:11,137 log 16072 24868 Not Found: /recipes/index/images/image_3.jpg
WARNING 2024-02-19 22:39:11,138 log 16072 9528 Not Found: /recipes/index/images/image_4.jpg
WARNING 2024-02-19 22:39:11,140 basehttp 16072 24868 "GET /recipes/index/images/image_3.jpg HTTP/1.1" 404 2357
WARNING 2024-02-19 22:39:11,141 basehttp 16072 9528 "GET /recipes/index/images/image_4.jpg HTTP/1.1" 404 2357
WARNING 2024-02-19 22:39:11,149 log 16072 6208 Not Found: /recipes/index/images/image_5.jpg
WARNING 2024-02-19 22:39:11,152 basehttp 16072 6208 "GET /recipes/index/images/image_5.jpg HTTP/1.1" 404 2357
WARNING 2024-02-19 22:39:11,154 log 16072 24868 Not Found: /recipes/index/images/category-1.jpg
WARNING 2024-02-19 22:39:11,155 log 16072 9528 Not Found: /recipes/index/images/bg_3.jpg
WARNING 2024-02-19 22:39:11,158 basehttp 16072 24868 "GET /recipes/index/images/category-1.jpg HTTP/1.1" 404 2366
WARNING 2024-02-19 22:39:11,158 basehttp 16072 9528 "GET /recipes/index/images/bg_3.jpg HTTP/1.1" 404 2348
WARNING 2024-02-19 22:39:11,165 log 16072 6208 Not Found: /recipes/index/images/category-2.jpg
WARNING 2024-02-19 22:39:11,165 basehttp 16072 6208 "GET /recipes/index/images/category-2.jpg HTTP/1.1" 404 2366
WARNING 2024-02-19 22:39:11,166 log 16072 24868 Not Found: /recipes/index/images/about.jpg
WARNING 2024-02-19 22:39:11,167 basehttp 16072 24868 "GET /recipes/index/images/about.jpg HTTP/1.1" 404 2351
INFO 2024-02-19 22:39:14,566 basehttp 16072 24868 "GET /recipes/index/ HTTP/1.1" 200 22797
WARNING 2024-02-19 22:39:14,691 log 16072 24868 Not Found: /recipes/index/static '/recipes/css/styles.css'
WARNING 2024-02-19 22:39:14,693 log 16072 6208 Not Found: /recipes/index/images/blog-1.jpg
WARNING 2024-02-19 22:39:14,695 log 16072 9528 Not Found: /recipes/index/images/blog-2.jpg
WARNING 2024-02-19 22:39:14,696 basehttp 16072 24868 "GET /recipes/index/static%20'/recipes/css/styles.css' HTTP/1.1" 404 2431
WARNING 2024-02-19 22:39:14,696 basehttp 16072 6208 "GET /recipes/index/images/blog-1.jpg HTTP/1.1" 404 2354
WARNING 2024-02-19 22:39:14,697 basehttp 16072 9528 "GET /recipes/index/images/blog-2.jpg HTTP/1.1" 404 2354
WARNING 2024-02-19 22:39:14,736 log 16072 24868 Not Found: /recipes/index/js/jquery.min.js
WARNING 2024-02-19 22:39:14,739 log 16072 6208 Not Found: /recipes/index/images/author.jpg
WARNING 2024-02-19 22:39:14,740 log 16072 9528 Not Found: /recipes/index/images/blog-3.jpg
WARNING 2024-02-19 22:39:14,742 basehttp 16072 24868 "GET /recipes/index/js/jquery.min.js HTTP/1.1" 404 2351
WARNING 2024-02-19 22:39:14,743 basehttp 16072 6208 "GET /recipes/index/images/author.jpg HTTP/1.1" 404 2354
WARNING 2024-02-19 22:39:14,743 basehttp 16072 9528 "GET /recipes/index/images/blog-3.jpg HTTP/1.1" 404 2354
WARNING 2024-02-19 22:39:14,745 log 16072 17244 Not Found: /recipes/index/js/jquery-migrate-3.0.1.min.js
WARNING 2024-02-19 22:39:14,752 log 16072 17856 Not Found: /recipes/index/js/bootstrap.min.js
WARNING 2024-02-19 22:39:14,753 log 16072 5264 Not Found: /recipes/index/js/popper.min.js
WARNING 2024-02-19 22:39:14,754 basehttp 16072 17244 "GET /recipes/index/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 404 2393
WARNING 2024-02-19 22:39:14,755 basehttp 16072 17856 "GET /recipes/index/js/bootstrap.min.js HTTP/1.1" 404 2360
WARNING 2024-02-19 22:39:14,755 basehttp 16072 5264 "GET /recipes/index/js/popper.min.js HTTP/1.1" 404 2351
WARNING 2024-02-19 22:39:14,771 log 16072 24868 Not Found: /recipes/index/js/jquery.stellar.min.js
WARNING 2024-02-19 22:39:14,773 log 16072 9528 Not Found: /recipes/index/js/jquery.easing.1.3.js
WARNING 2024-02-19 22:39:14,774 basehttp 16072 24868 "GET /recipes/index/js/jquery.stellar.min.js HTTP/1.1" 404 2375
WARNING 2024-02-19 22:39:14,781 log 16072 6208 Not Found: /recipes/index/js/jquery.waypoints.min.js
WARNING 2024-02-19 22:39:14,784 basehttp 16072 9528 "GET /recipes/index/js/jquery.easing.1.3.js HTTP/1.1" 404 2372
WARNING 2024-02-19 22:39:14,788 basehttp 16072 6208 "GET /recipes/index/js/jquery.waypoints.min.js HTTP/1.1" 404 2381
WARNING 2024-02-19 22:39:14,791 log 16072 17244 Not Found: /recipes/index/images/bg_2.jpg
